rank,track_name,artist_name,listeners,mbid,url,date,country
101,Amo Minha Favela,DJ Japa NK,18086,,https://www.last.fm/music/DJ+Japa+NK/_/Amo+Minha+Favela,2026-04-19,Brazil
102,Nonsense,Sabrina Carpenter,18035,5659c2de-da94-4287-a97a-8b31cd6948ee,https://www.last.fm/music/Sabrina+Carpenter/_/Nonsense,2026-04-19,Brazil
103,Reflections,The Neighbourhood,18019,1f0c4298-3fb6-412f-b90e-350a9bf7009a,https://www.last.fm/music/The+Neighbourhood/_/Reflections,2026-04-19,Brazil
104,Doçura,Marina Sena,17998,4ebf2762-53db-4670-9804-f884aace738a,https://www.last.fm/music/Marina+Sena/_/Do%C3%A7ura,2026-04-19,Brazil
105,Posso Até Não Te Dar Flores,DJ Japa NK,17932,,https://www.last.fm/music/DJ+Japa+NK/_/Posso+At%C3%A9+N%C3%A3o+Te+Dar+Flores,2026-04-19,Brazil
106,BAILE INoLVIDABLE,Bad Bunny,17871,224177fe-504b-4495-bc62-a091f1022bda,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,2026-04-19,Brazil
107,Mágico,Marina Sena,17752,7b0b392e-5a1b-451c-917a-67174f5054cd,https://www.last.fm/music/Marina+Sena/_/M%C3%A1gico,2026-04-19,Brazil
108,DtMF,Bad Bunny,17693,2944ab9d-2e49-4143-83fb-4e8499469654,https://www.last.fm/music/Bad+Bunny/_/DtMF,2026-04-19,Brazil
109,Company,Justin Bieber,17693,010da4c0-6af9-4e57-b537-2b84c53ba48b,https://www.last.fm/music/Justin+Bieber/_/Company,2026-04-19,Brazil
110,Into You,Ariana Grande,17611,014f37a5-2290-4336-8ee0-e841a123df74,https://www.last.fm/music/Ariana+Grande/_/Into+You,2026-04-19,Brazil
111,we can't be friends (wait for your love),Ariana Grande,17571,070c063c-d72a-4555-bf6e-41ec2f4d4812,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love),2026-04-19,Brazil
112,Eenie Meenie,Sean Kingston,17558,6611e1dc-2b20-497a-a699-43868f4bd24d,https://www.last.fm/music/Sean+Kingston/_/Eenie+Meenie,2026-04-19,Brazil
113,Linger,The Cranberries,17528,03e428bd-6744-40e6-85d6-0d7b4eda4155,https://www.last.fm/music/The+Cranberries/_/Linger,2026-04-19,Brazil
114,Red Wine Supernova,Chappell Roan,17521,16001553-3edd-49c1-8c0c-05bf7077a12d,https://www.last.fm/music/Chappell+Roan/_/Red+Wine+Supernova,2026-04-19,Brazil
115,YES GODDD,Slayyyter,17481,7eb1ec52-683a-4cae-8d8a-850a1b5683b8,https://www.last.fm/music/Slayyyter/_/YES+GODDD,2026-04-19,Brazil
116,Decode,Paramore,17460,128de3c7-8d4d-37bb-8c07-4d4cf0d1c491,https://www.last.fm/music/Paramore/_/Decode,2026-04-19,Brazil
117,Pink + White,Frank Ocean,17367,0e360068-12c7-4012-853c-6a6011e0b36a,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,2026-04-19,Brazil
118,Von dutch,Charli xcx,17304,2a3c5011-c25d-4945-848e-27724dde8201,https://www.last.fm/music/Charli+xcx/_/Von+dutch,2026-04-19,Brazil
119,Feather,Sabrina Carpenter,17270,99ebdae8-1057-4dff-a134-0652cf51f62b,https://www.last.fm/music/Sabrina+Carpenter/_/Feather,2026-04-19,Brazil
120,Duvet,bôa,17215,31f81ed3-432f-415b-8c7b-2822a61c8c42,https://www.last.fm/music/b%C3%B4a/_/Duvet,2026-04-19,Brazil
121,Don’t Smile,Sabrina Carpenter,17110,f7e1bff0-1bcd-49f9-afba-30530950466c,https://www.last.fm/music/Sabrina+Carpenter/_/Don%E2%80%99t+Smile,2026-04-19,Brazil
122,Abracadabra,Lady Gaga,17061,07d51be7-982b-48a1-adba-0002b464098b,https://www.last.fm/music/Lady+Gaga/_/Abracadabra,2026-04-19,Brazil
123,Kiss It Better,Rihanna,17058,075c6f13-4f0a-4342-b11b-3ca93ed57fb9,https://www.last.fm/music/Rihanna/_/Kiss+It+Better,2026-04-19,Brazil
124,Tudo Vai Dar Certo,Natiruts,17055,,https://www.last.fm/music/Natiruts/_/Tudo+Vai+Dar+Certo,2026-04-19,Brazil
125,Futile Devices (Doveman Remix),Sufjan Stevens,17039,11ad302f-84ef-488c-84f2-b08f0b06f8f6,https://www.last.fm/music/Sufjan+Stevens/_/Futile+Devices+(Doveman+Remix),2026-04-19,Brazil
126,vampire,Olivia Rodrigo,17030,0361aaf9-3e11-4384-95f9-a1346c2181ff,https://www.last.fm/music/Olivia+Rodrigo/_/vampire,2026-04-19,Brazil
127,The Only Exception,Paramore,17028,0d2970ee-7852-37a0-be36-516ba47789cb,https://www.last.fm/music/Paramore/_/The+Only+Exception,2026-04-19,Brazil
128,Bring Me to Life,Evanescence,17025,00586963-0545-3a1e-8fa9-d21ebfbdb9f6,https://www.last.fm/music/Evanescence/_/Bring+Me+to+Life,2026-04-19,Brazil
129,Borderline,Tame Impala,16888,028ddea9-a969-443a-afae-ff9a62a2a51c,https://www.last.fm/music/Tame+Impala/_/Borderline,2026-04-19,Brazil
130,Sequência Feiticeira,PEDRO SAMPAIO,16826,b2f2f981-4529-4ac8-a1df-d24c2c151906,https://www.last.fm/music/PEDRO+SAMPAIO/_/Sequ%C3%AAncia+Feiticeira,2026-04-19,Brazil
131,What Do You Mean?,Justin Bieber,16793,0314829c-7ac9-49ef-9842-f703abb2cc8d,https://www.last.fm/music/Justin+Bieber/_/What+Do+You+Mean%3F,2026-04-19,Brazil
132,Samurai (feat. Stevie Wonder),Djavan,16789,,https://www.last.fm/music/Djavan/_/Samurai+(feat.+Stevie+Wonder),2026-04-19,Brazil
133,WILDFLOWER,Billie Eilish,16757,5afa33bb-83f6-42c6-b789-8bfa34c48b50,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER,2026-04-19,Brazil
134,Hung Up,Madonna,16755,03e2d973-96a7-48a0-9a38-1ae377971c55,https://www.last.fm/music/Madonna/_/Hung+Up,2026-04-19,Brazil
135,Lovers Rock,TV Girl,16751,0a12c26b-c3be-4c9e-a963-a8719f7f2dcc,https://www.last.fm/music/TV+Girl/_/Lovers+Rock,2026-04-19,Brazil
136,Leak It,FLO,16601,ea7107e8-dbd5-451d-b0ac-bf1d7d7cf581,https://www.last.fm/music/FLO/_/Leak+It,2026-04-19,Brazil
137,Sienna,The Marías,16582,f3db7473-3a61-4053-a7ce-a8fe29dbe5fa,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,2026-04-19,Brazil
138,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,16579,449b6c10-9dae-4b6a-9af7-27a31507393a,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster,2026-04-19,Brazil
