date,artist_name,track_name,track_playcount,track_listeners,track_rank
2026-04-22,MC GH Original,Louca de Lancinha,366,235,8
2026-04-22,MC GH Original,Rei das Fugas,338,224,9
2026-04-22,MC GH Original,E o Bumbum Dela Vai no Chão,350,177,10
2026-04-22,MC GP,ME POSTOU NO DAILY - FESTA DO BIG G,902995,103379,1
2026-04-22,MC GP,300 no 7,1005523,91852,2
2026-04-22,MC GP,Voltei pras putas,267185,58858,3
2026-04-22,MC GP,Ela se Envolve,314758,50977,4
2026-04-22,MC GP,Cola No Ap,380934,33600,5
2026-04-22,MC GP,Ela Posta,201348,30820,6
2026-04-22,MC GP,Ela Vem (SET DJ NENE),292051,27658,7
2026-04-22,MC GP,Semi Nua,132787,23917,8
2026-04-22,MC GP,Mimo Caro,244076,22926,9
2026-04-22,MC GP,Modo Esquece,222149,21026,10
2026-04-22,Mc Gw,Ritmo Mexicano,674285,141685,1
2026-04-22,Mc Gw,Atura ou Surta 2,191231,45891,2
2026-04-22,Mc Gw,Beat Distorce Pancada 1.0,145170,28200,3
2026-04-22,Mc Gw,Rave Jogando o L,126767,26298,4
2026-04-22,Mc Gw,Toma Vagabunda Pirocada de Bandido,101086,24636,5
2026-04-22,Mc Gw,Beat Mata Professora,112338,24569,6
2026-04-22,Mc Gw,Xerequinha Pervertida,56528,21656,7
2026-04-22,Mc Gw,Não Olha pra Minha Cara Não,83239,18342,8
2026-04-22,Mc Gw,Barulhinho Do Amor,60717,16821,9
2026-04-22,Mc Gw,Montagem Trava Favela,53956,16536,10
2026-04-22,Mc IG,3 Dias Virado,1216894,164385,1
2026-04-22,Mc IG,Noite Fria,777833,92104,2
2026-04-22,Mc IG,"Faz Completo, Chefe",837499,86134,3
2026-04-22,Mc IG,400K,916854,85632,4
2026-04-22,Mc IG,Sorriso no Rosto,695307,82817,5
2026-04-22,Mc IG,Ninguém Tá Puro,835447,70983,6
2026-04-22,Mc IG,Diz Aí Qual é o Plano?,493965,62596,7
2026-04-22,Mc IG,"É Isso Bebê, Tá Certa!",394490,56517,8
2026-04-22,Mc IG,"Olá, Moça",617592,55050,9
2026-04-22,Mc IG,Fernando de Noronha,487986,54097,10
2026-04-22,Mc Jacaré,Toma Tapa,898112,139664,1
2026-04-22,Mc Jacaré,Vento Forte,793499,124463,2
2026-04-22,Mc Jacaré,Comprei um Lança,362831,84951,3
2026-04-22,Mc Jacaré,Senta e Cala a Boca,281383,64998,4
2026-04-22,Mc Jacaré,Boca de Mel,296974,62921,5
2026-04-22,Mc Jacaré,Carnívoro,282519,41930,6
2026-04-22,Mc Jacaré,A Culpa Não É Minha,175812,33902,7
2026-04-22,Mc Jacaré,Pinxadão,165212,32535,8
2026-04-22,Mc Jacaré,Eu Até Gosto de Você,197237,31689,9
2026-04-22,Mc Jacaré,Vem Sentar pro Pai,120295,27822,10
2026-04-22,Mc Jhey,Predador de Perereca,300693,80274,1
2026-04-22,Mc Jhey,Vou Te Catucar,73051,13295,2
2026-04-22,Mc Jhey,Pitbull,63432,11500,3
2026-04-22,Mc Jhey,Pepeka Nervosa,31431,11417,4
2026-04-22,Mc Jhey,PREDADOR DE PLUG,34796,9652,5
2026-04-22,Mc Jhey,Pepeca Nervosa,24330,8938,6
2026-04-22,Mc Jhey,Mega Bruxaria Predador de Perereca,3999,1906,7
2026-04-22,Mc Jhey,O Rei Mandou,5478,1891,8
2026-04-22,Mc Jhey,ELA ME MANDOU EMBORA,3691,1882,9
2026-04-22,Mc Jhey,"Tá Suave, Tá Legal",4410,1546,10
2026-04-22,Mc Lele JP,Toma Gostosona,359441,55121,1
2026-04-22,Mc Lele JP,Eu sou Cantor Não Sou Bandido,426076,52020,2
2026-04-22,Mc Lele JP,Vai Tomando Pock Pock,290595,48038,3
2026-04-22,Mc Lele JP,Chatão,157508,23852,4
2026-04-22,Mc Lele JP,Famoso Ímã | O poderoso chatão,122716,21963,5
2026-04-22,Mc Lele JP,Sou Vitorioso,93664,20749,6
2026-04-22,Mc Lele JP,Tiger Preta,93327,16374,7
2026-04-22,Mc Lele JP,Saca da Twin,91031,15252,8
2026-04-22,Mc Lele JP,Chapa do Chatão,52217,12431,9
2026-04-22,Mc Lele JP,Se Quiser Pode Ir,28393,11303,10
2026-04-22,MC Leozinho ZS,Olha os Menor em Ação 2,27187,4562,1
2026-04-22,MC Leozinho ZS,Lobo da Matilha,17569,4426,2
2026-04-22,MC Leozinho ZS,Desigualdade,17079,2795,3
2026-04-22,MC Leozinho ZS,História de um Amigo Meu (Ao Vivo),13362,2524,4
2026-04-22,MC Leozinho ZS,É Os Pé Na Porta,9366,2301,5
2026-04-22,MC Leozinho ZS,Demanda,9138,2228,6
2026-04-22,MC Leozinho ZS,Mostra Esse Tete,5331,2037,7
2026-04-22,MC Leozinho ZS,Sou Cantor Não Sou Bandido,8745,1865,8
2026-04-22,MC Leozinho ZS,Deixa Os Bigode,6954,1675,9
2026-04-22,MC Leozinho ZS,Fuga No Radar,7569,1514,10
2026-04-22,MC Meno K,Vai Com Bundão,273177,62323,1
2026-04-22,MC Meno K,Uma Cavala Mesmo,228752,59507,2
