rank,artist_name,listeners,mbid,url,date,country
106,Doechii,33322,9f75277c-b283-4846-ac8c-f932255cd0ac,https://www.last.fm/music/Doechii,2026-04-19,Brazil
107,LE SSERAFIM,33298,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,https://www.last.fm/music/LE+SSERAFIM,2026-04-19,Brazil
108,DJ Japa NK,33161,,https://www.last.fm/music/DJ+Japa+NK,2026-04-19,Brazil
109,Maroon 5,32966,0ab49580-c84f-44d4-875f-d83760ea2cfe,https://www.last.fm/music/Maroon+5,2026-04-19,Brazil
110,Guns N' Roses,32661,,https://www.last.fm/music/Guns+N%27+Roses,2026-04-19,Brazil
111,aespa,32630,b51c672b-85e0-48fe-8648-470a2422229f,https://www.last.fm/music/aespa,2026-04-19,Brazil
112,beabadoobee,32563,88d17133-abbc-42db-9526-4e2c1db60336,https://www.last.fm/music/beabadoobee,2026-04-19,Brazil
113,Shakira,32371,bf24ca37-25f4-4e34-9aec-460b94364cfc,https://www.last.fm/music/Shakira,2026-04-19,Brazil
114,Skank,32366,25db5fde-2384-4baf-8e3d-d8299b4c99ef,https://www.last.fm/music/Skank,2026-04-19,Brazil
115,Childish Gambino,32018,7fb57fba-a6ef-44c2-abab-2fa3bdee607e,https://www.last.fm/music/Childish+Gambino,2026-04-19,Brazil
116,Baco Exu do Blues,31790,d316f174-4056-4d7c-b551-99da9925932f,https://www.last.fm/music/Baco+Exu+do+Blues,2026-04-19,Brazil
